t,n,pos_rate,acc,precision,recall,f1,spec,tn,fp,fn,tp
0.44,877,0.500570125427594,0.7571265678449259,0.9185185185185185,0.5649202733485194,0.6995768688293371,0.9497716894977146,416,22,191,248
0.45,877,0.500570125427594,0.7559863169897377,0.9213483146067416,0.5603644646924829,0.6968838526912181,0.9520547945205458,417,21,193,246
0.46,877,0.500570125427594,0.7571265678449259,0.924812030075188,0.5603644646924829,0.6978723404255319,0.9543378995433768,418,20,193,246
0.47000000000000003,877,0.500570125427594,0.7571265678449259,0.924812030075188,0.5603644646924829,0.6978723404255319,0.9543378995433768,418,20,193,246
0.48000000000000004,877,0.500570125427594,0.7559863169897377,0.9245283018867925,0.5580865603644647,0.6960227272727273,0.9543378995433768,418,20,194,245
0.49,877,0.500570125427594,0.7537058152793614,0.9239543726235742,0.5535307517084282,0.6923076923076923,0.9543378995433768,418,20,196,243
0.5,877,0.500570125427594,0.7525655644241733,0.9236641221374046,0.55125284738041,0.6904422253922967,0.9543378995433768,418,20,197,242
0.51,877,0.500570125427594,0.7525655644241733,0.9302325581395349,0.5466970387243736,0.6886657101865137,0.9589041095890388,420,18,199,240
0.52,877,0.500570125427594,0.7525655644241733,0.93359375,0.5444191343963554,0.6877697841726619,0.96118721461187,421,17,200,239
0.53,877,0.500570125427594,0.7514253135689852,0.9333333333333333,0.5421412300683371,0.6858789625360231,0.96118721461187,421,17,201,238
0.54,877,0.500570125427594,0.7491448118586089,0.932806324110672,0.5375854214123007,0.6820809248554913,0.96118721461187,421,17,203,236
0.55,877,0.500570125427594,0.7468643101482326,0.9322709163346613,0.5330296127562643,0.6782608695652174,0.96118721461187,421,17,205,234
0.56,877,0.500570125427594,0.7457240592930444,0.932,0.530751708428246,0.6763425253991292,0.96118721461187,421,17,206,233
0.5700000000000001,877,0.500570125427594,0.7457240592930444,0.932,0.530751708428246,0.6763425253991292,0.96118721461187,421,17,206,233
0.5800000000000001,877,0.500570125427594,0.74230330672748,0.9311740890688259,0.5239179954441914,0.6705539358600583,0.96118721461187,421,17,209,230
0.59,877,0.500570125427594,0.7400228050171037,0.9306122448979591,0.5193621867881549,0.6666666666666666,0.96118721461187,421,17,211,228
0.6,877,0.500570125427594,0.7411630558722919,0.9344262295081968,0.5193621867881549,0.6676427525622255,0.963470319634701,422,16,211,228
0.61,877,0.500570125427594,0.7400228050171037,0.934156378600823,0.5170842824601367,0.6656891495601173,0.963470319634701,422,16,212,227
0.62,877,0.500570125427594,0.734321550741163,0.9327731092436975,0.5056947608200456,0.6558345642540621,0.963470319634701,422,16,217,222
0.63,877,0.500570125427594,0.7309007981755986,0.9356223175965666,0.49658314350797267,0.6488095238095238,0.965753424657532,423,15,221,218
0.64,877,0.500570125427594,0.7274800456100342,0.9347826086956522,0.489749430523918,0.6427503736920778,0.965753424657532,423,15,224,215
0.65,877,0.500570125427594,0.7263397947548461,0.9344978165938864,0.4874715261958998,0.6407185628742516,0.965753424657532,423,15,225,214
0.66,877,0.500570125427594,0.7240592930444698,0.9377777777777778,0.4806378132118451,0.6355421686746988,0.968036529680363,424,14,228,211
0.67,877,0.500570125427594,0.7206385404789054,0.9369369369369369,0.47380410022779046,0.6293494704992436,0.968036529680363,424,14,231,208
0.68,877,0.500570125427594,0.7206385404789054,0.9369369369369369,0.47380410022779046,0.6293494704992436,0.968036529680363,424,14,231,208
0.6900000000000001,877,0.500570125427594,0.7172177879133409,0.9360730593607306,0.46697038724373574,0.6231003039513677,0.968036529680363,424,14,234,205
0.7000000000000001,877,0.500570125427594,0.7194982896237172,0.9447004608294931,0.46697038724373574,0.625,0.9726027397260252,426,12,234,205
0.7100000000000001,877,0.500570125427594,0.7206385404789054,0.9532710280373832,0.4646924829157175,0.6248085758039816,0.9771689497716872,428,10,235,204
0.72,877,0.500570125427594,0.7183580387685291,0.9528301886792453,0.4601366742596811,0.620583717357911,0.9771689497716872,428,10,237,202
0.73,877,0.500570125427594,0.7172177879133409,0.9569377990430622,0.45558086560364464,0.6172839506172839,0.9794520547945182,429,9,239,200
0.74,877,0.500570125427594,0.7160775370581528,0.9611650485436893,0.4510250569476082,0.6139534883720931,0.9817351598173493,430,8,241,198
0.75,877,0.500570125427594,0.7149372862029647,0.9609756097560975,0.44874715261959,0.6118012422360248,0.9817351598173493,430,8,242,197
0.76,877,0.500570125427594,0.7103762827822121,0.9601990049751243,0.4396355353075171,0.603125,0.9817351598173493,430,8,246,193
0.77,877,0.500570125427594,0.7035347776510832,0.958974358974359,0.42596810933940776,0.5899053627760252,0.9817351598173493,430,8,252,187
0.78,877,0.500570125427594,0.701254275940707,0.9585492227979274,0.4214123006833713,0.5854430379746836,0.9817351598173493,430,8,254,185
0.79,877,0.500570125427594,0.6978335233751425,0.9627659574468085,0.4123006833712984,0.5773524720893142,0.9840182648401804,431,7,258,181
0.8,877,0.500570125427594,0.6989737742303307,0.9679144385026738,0.4123006833712984,0.5782747603833865,0.9863013698630114,432,6,258,181
0.81,877,0.500570125427594,0.6978335233751425,0.967741935483871,0.41002277904328016,0.576,0.9863013698630114,432,6,259,180
0.8200000000000001,877,0.500570125427594,0.69327251995439,0.967032967032967,0.4009111617312073,0.5668276972624798,0.9863013698630114,432,6,263,176
0.8300000000000001,877,0.500570125427594,0.6898517673888256,0.9664804469273743,0.3940774487471526,0.5598705501618123,0.9863013698630114,432,6,266,173
0.8400000000000001,877,0.500570125427594,0.6864310148232611,0.9712643678160919,0.38496583143507973,0.5513866231647635,0.9885844748858424,433,5,270,169
0.85,877,0.500570125427594,0.6841505131128849,0.9709302325581395,0.3804100227790433,0.546644844517185,0.9885844748858424,433,5,272,167
0.86,877,0.500570125427594,0.6795895096921323,0.9702380952380952,0.3712984054669704,0.5370675453047776,0.9885844748858424,433,5,276,163
0.87,877,0.500570125427594,0.6704675028506272,0.96875,0.3530751708428246,0.5175292153589316,0.9885844748858424,433,5,284,155
0.88,877,0.500570125427594,0.6647662485746865,0.9738562091503268,0.33940774487471526,0.5033783783783784,0.9908675799086735,434,4,290,149
0.89,877,0.500570125427594,0.6567844925883695,0.9726027397260274,0.3234624145785877,0.48547008547008547,0.9908675799086735,434,4,297,142
0.9,877,0.500570125427594,0.645381984036488,0.9705882352941176,0.30068337129840544,0.4591304347826087,0.9908675799086735,434,4,307,132
0.91,877,0.500570125427594,0.637400228050171,0.9689922480620154,0.2847380410022779,0.44014084507042256,0.9908675799086735,434,4,314,125
0.92,877,0.500570125427594,0.6282782212086659,0.9669421487603306,0.26651480637813213,0.41785714285714287,0.9908675799086735,434,4,322,117
0.93,877,0.500570125427594,0.6180159635119726,0.9642857142857143,0.2460136674259681,0.39201451905626133,0.9908675799086735,434,4,331,108
0.9400000000000001,877,0.500570125427594,0.5986316989737742,0.9578947368421052,0.2072892938496583,0.3408239700374532,0.9908675799086735,434,4,348,91
0.9500000000000001,877,0.500570125427594,0.5849486887115165,0.9518072289156626,0.17995444191343962,0.30268199233716475,0.9908675799086735,434,4,360,79
0.9600000000000001,877,0.500570125427594,0.5678449258836944,0.9411764705882353,0.14578587699316628,0.252465483234714,0.9908675799086735,434,4,375,64
0.97,877,0.500570125427594,0.556442417331813,0.9629629629629629,0.11845102505694761,0.21095334685598377,0.9954337899543356,436,2,387,52
0.98,877,0.500570125427594,0.5290763968072976,0.9642857142857143,0.06150341685649203,0.11563169164882227,0.9977168949771666,437,1,412,27
0.99,877,0.500570125427594,0.5017103762827823,1.0,0.004555808656036446,0.009070294784580499,0.9999999999999977,438,0,437,2
